year,month,date,prefectureNameJ,prefectureNameE,testedPositive,peopleTested,hospitalized,serious,discharged,deaths,effectiveReproductionNumber
2020,2,21,沖縄県,Okinawa,3,,,,,,
2020,2,22,東京都,Tokyo,29,444.0,,,,,
2020,2,22,神奈川県,Kanagawa,14,,,,,,
2020,2,22,沖縄県,Okinawa,3,,,,,,
2020,2,23,東京都,Tokyo,29,451.0,,,,,0.71
2020,2,23,神奈川県,Kanagawa,14,,,,,,2.36
2020,2,23,沖縄県,Okinawa,3,,,,,,
2020,2,24,東京都,Tokyo,32,465.0,,,,,0.86
2020,2,24,神奈川県,Kanagawa,18,,,,,,2.32
2020,2,24,沖縄県,Okinawa,3,,,,,,
2020,2,25,東京都,Tokyo,32,509.0,,,,,0.63
2020,2,25,神奈川県,Kanagawa,18,,,,,,2.19
2020,2,25,沖縄県,Okinawa,3,,,,,,
2020,2,26,東京都,Tokyo,35,560.0,,,,,0.57
2020,2,26,神奈川県,Kanagawa,19,,,,,,1.54
2020,2,26,沖縄県,Okinawa,3,,,,,,
2020,2,27,東京都,Tokyo,36,628.0,,,,,0.63
2020,2,27,神奈川県,Kanagawa,22,,,,,,1.47
2020,2,27,沖縄県,Okinawa,3,,,,,,
2020,2,28,東京都,Tokyo,36,692.0,36.0,5,,,0.49
2020,2,28,神奈川県,Kanagawa,24,,,,,,1.15
2020,2,28,沖縄県,Okinawa,3,,,,,,
2020,2,29,東京都,Tokyo,37,748.0,37.0,5,,,0.64
2020,2,29,神奈川県,Kanagawa,24,,,,,,1.0
2020,2,29,沖縄県,Okinawa,3,,,,,,0.0
2020,3,1,東京都,Tokyo,39,762.0,39.0,5,,,1.0
2020,3,1,神奈川県,Kanagawa,27,,,,,,1.21
2020,3,1,沖縄県,Okinawa,3,,,,,,0.0
2020,3,2,東京都,Tokyo,39,794.0,39.0,5,,,0.64
2020,3,2,神奈川県,Kanagawa,31,,,,,,1.0
2020,3,2,沖縄県,Okinawa,3,,,,,,0.0
2020,3,3,東京都,Tokyo,40,868.0,40.0,5,,,0.85
2020,3,3,神奈川県,Kanagawa,32,,,,,,1.12
2020,3,3,沖縄県,Okinawa,3,,,,,,0.0
2020,3,4,東京都,Tokyo,44,950.0,44.0,6,,,0.93
2020,3,4,神奈川県,Kanagawa,32,,,,,,1.13
2020,3,4,沖縄県,Okinawa,3,,,,,,0.0
2020,3,5,東京都,Tokyo,52,1029.0,52.0,7,,,1.31
2020,3,5,神奈川県,Kanagawa,35,,,,,,1.06
2020,3,5,沖縄県,Okinawa,3,,,,,,
2020,3,6,東京都,Tokyo,58,1100.0,58.0,8,,,2.06
2020,3,6,神奈川県,Kanagawa,41,,,,,,1.36
2020,3,6,沖縄県,Okinawa,3,,,,,,
2020,3,7,東京都,Tokyo,64,1194.0,64.0,8,,,2.38
2020,3,7,神奈川県,Kanagawa,42,,,,,,1.52
2020,3,7,沖縄県,Okinawa,3,,,,,,
2020,3,8,東京都,Tokyo,64,1194.0,64.0,8,,,1.92
2020,3,8,神奈川県,Kanagawa,42,,,,,,1.11
2020,3,8,沖縄県,Okinawa,3,,,,,,
2020,3,9,東京都,Tokyo,64,1217.0,64.0,7,,,2.48
2020,3,9,神奈川県,Kanagawa,42,,,,,,0.89
2020,3,9,沖縄県,Okinawa,3,,,,,,
2020,3,10,東京都,Tokyo,67,1282.0,67.0,8,,,2.38
2020,3,10,神奈川県,Kanagawa,44,,,,,,0.9
2020,3,10,沖縄県,Okinawa,3,,,,,,
2020,3,11,北海道,Hokkaido,118,1174.0,,7,53.0,3,
2020,3,11,青森県,Aomori,0,58.0,,,,,
2020,3,11,岩手県,Iwate,0,20.0,,,,,
2020,3,11,宮城県,Miyagi,1,94.0,,,,,
2020,3,11,秋田県,Akita,2,40.0,,,,,
2020,3,11,山形県,Yamagata,0,96.0,,,,,
2020,3,11,福島県,Fukushima,1,93.0,,,,,
2020,3,11,茨城県,Ibaraki,0,302.0,,,,,
2020,3,11,栃木県,Tochigi,2,170.0,,,,,
2020,3,11,群馬県,Gunma,1,81.0,,,,,
2020,3,11,埼玉県,Saitama,12,264.0,,,,,
2020,3,11,千葉県,Chiba,25,,,,,,
2020,3,11,東京都,Tokyo,73,1401.0,73.0,7,,,2.31
2020,3,11,神奈川県,Kanagawa,47,,,,,,1.11
2020,3,11,新潟県,Niigata,11,,,,,,
2020,3,11,富山県,Toyama,0,44.0,,,,,
2020,3,11,石川県,Ishikawa,7,134.0,,,,,
2020,3,11,福井県,Fukui,0,71.0,,,,,
2020,3,11,山梨県,Yamanashi,2,236.0,,,,,
2020,3,11,長野県,Nagano,3,231.0,,,,,
2020,3,11,岐阜県,Gifu,2,201.0,,,,,
2020,3,11,静岡県,Shizuoka,2,,,,,,
2020,3,11,愛知県,Aichi,104,274.0,,,,,
2020,3,11,三重県,Mie,2,155.0,,,,,
2020,3,11,滋賀県,Shiga,1,88.0,,,,,
2020,3,11,京都府,Kyoto,15,440.0,,,,,
2020,3,11,大阪府,Osaka,80,1302.0,,,7.0,,
2020,3,11,兵庫県,Hyogo,37,540.0,35.0,4,1.0,1,
2020,3,11,奈良県,Nara,8,102.0,,,,,
2020,3,11,和歌山県,Wakayama,14,982.0,,,,,
2020,3,11,鳥取県,Tottori,0,82.0,,,,,
2020,3,11,島根県,Shimane,0,64.0,,,,,
2020,3,11,岡山県,Okayama,0,125.0,,,,,
2020,3,11,広島県,Hiroshima,1,290.0,,,,,
2020,3,11,山口県,Yamaguchi,3,113.0,,,,,
2020,3,11,徳島県,Tokushima,1,62.0,,,,,
2020,3,11,香川県,Kagawa,0,88.0,,,,,
2020,3,11,愛媛県,Ehime,2,149.0,,,,,
2020,3,11,高知県,Kochi,12,157.0,,,,,
2020,3,11,福岡県,Fukuoka,3,492.0,,,,,
2020,3,11,佐賀県,Saga,0,47.0,,,,,
2020,3,11,長崎県,Nagasaki,0,133.0,,,,,
2020,3,11,熊本県,Kumamoto,6,,,,,,
2020,3,11,大分県,Oita,1,137.0,,,,,
2020,3,11,宮崎県,Miyazaki,1,78.0,,,,,
2020,3,11,鹿児島県,Kagoshima,0,,,,,,
2020,3,11,沖縄県,Okinawa,3,190.0,,,,,
2020,3,12,北海道,Hokkaido,128,1250.0,,6,53.0,4,
2020,3,12,青森県,Aomori,0,66.0,,,,,
2020,3,12,岩手県,Iwate,0,22.0,,,,,
2020,3,12,宮城県,Miyagi,1,100.0,,,,,
2020,3,12,秋田県,Akita,2,92.0,,,,,
2020,3,12,山形県,Yamagata,0,103.0,,,,,
2020,3,12,福島県,Fukushima,1,100.0,,,,,
2020,3,12,茨城県,Ibaraki,0,342.0,,,,,
2020,3,12,栃木県,Tochigi,2,193.0,,,,,
2020,3,12,群馬県,Gunma,1,103.0,,,,,
2020,3,12,埼玉県,Saitama,18,440.0,,,,,
2020,3,12,千葉県,Chiba,27,,,,,,
2020,3,12,東京都,Tokyo,75,1485.0,75.0,7,,,1.3
2020,3,12,神奈川県,Kanagawa,50,,,,,,1.11
2020,3,12,新潟県,Niigata,14,,,,,,
2020,3,12,富山県,Toyama,0,47.0,,,,,
2020,3,12,石川県,Ishikawa,7,144.0,,,,,
2020,3,12,福井県,Fukui,0,73.0,,,,,
2020,3,12,山梨県,Yamanashi,2,251.0,,,,,
2020,3,12,長野県,Nagano,3,245.0,,,,,
2020,3,12,岐阜県,Gifu,2,205.0,,,,,
2020,3,12,静岡県,Shizuoka,3,,,,,,
2020,3,12,愛知県,Aichi,111,1009.0,,,,,
2020,3,12,三重県,Mie,7,181.0,,,,,
2020,3,12,滋賀県,Shiga,1,91.0,,,,,
2020,3,12,京都府,Kyoto,17,544.0,,,,,
2020,3,12,大阪府,Osaka,89,1425.0,,,12.0,,
2020,3,12,兵庫県,Hyogo,46,650.0,44.0,4,1.0,1,
2020,3,12,奈良県,Nara,8,113.0,,,,,
2020,3,12,和歌山県,Wakayama,14,996.0,,,,,
2020,3,12,鳥取県,Tottori,0,86.0,,,,,
2020,3,12,島根県,Shimane,0,76.0,,,,,
2020,3,12,岡山県,Okayama,0,141.0,,,,,
2020,3,12,広島県,Hiroshima,1,376.0,,,,,
2020,3,12,山口県,Yamaguchi,3,122.0,,,,,
2020,3,12,徳島県,Tokushima,1,67.0,,,,,
2020,3,12,香川県,Kagawa,0,91.0,,,,,
2020,3,12,愛媛県,Ehime,2,153.0,,,,,
2020,3,12,高知県,Kochi,12,221.0,,,,,
2020,3,12,福岡県,Fukuoka,3,509.0,,,,,
2020,3,12,佐賀県,Saga,0,50.0,,,,,
2020,3,12,長崎県,Nagasaki,0,140.0,,,,,
2020,3,12,熊本県,Kumamoto,6,,,,,,
2020,3,12,大分県,Oita,1,138.0,,,,,
2020,3,12,宮崎県,Miyazaki,1,97.0,,,,,
2020,3,12,鹿児島県,Kagoshima,0,,,,,,
2020,3,12,沖縄県,Okinawa,3,196.0,,,,,
2020,3,13,北海道,Hokkaido,137,1323.0,,6,55.0,4,
2020,3,13,青森県,Aomori,0,70.0,,,,,
2020,3,13,岩手県,Iwate,0,22.0,,,,,
2020,3,13,宮城県,Miyagi,1,109.0,,,,,
2020,3,13,秋田県,Akita,2,94.0,,,,,
2020,3,13,山形県,Yamagata,0,110.0,,,,,
2020,3,13,福島県,Fukushima,1,107.0,,,,,
2020,3,13,茨城県,Ibaraki,0,389.0,,,,,
2020,3,13,栃木県,Tochigi,2,201.0,,,,,
2020,3,13,群馬県,Gunma,3,115.0,,,,,
2020,3,13,埼玉県,Saitama,21,440.0,,,,,
2020,3,13,千葉県,Chiba,29,,,,,,
2020,3,13,東京都,Tokyo,77,1543.0,77.0,8,,,0.9
2020,3,13,神奈川県,Kanagawa,51,,,,,,0.68
2020,3,13,新潟県,Niigata,14,,,,,,
2020,3,13,富山県,Toyama,0,49.0,,,,,
2020,3,13,石川県,Ishikawa,7,146.0,,,,,
2020,3,13,福井県,Fukui,0,74.0,,,,,
2020,3,13,山梨県,Yamanashi,2,267.0,,,,,
2020,3,13,長野県,Nagano,3,255.0,,,,,
2020,3,13,岐阜県,Gifu,2,227.0,,,,,
2020,3,13,静岡県,Shizuoka,3,,,,,,
2020,3,13,愛知県,Aichi,114,1103.0,,,,,
2020,3,13,三重県,Mie,7,198.0,,,,,
2020,3,13,滋賀県,Shiga,1,99.0,,,,,
2020,3,13,京都府,Kyoto,17,628.0,,,,,
2020,3,13,大阪府,Osaka,92,1534.0,,,17.0,,
2020,3,13,兵庫県,Hyogo,56,744.0,54.0,4,1.0,1,
2020,3,13,奈良県,Nara,8,131.0,,,,,
2020,3,13,和歌山県,Wakayama,14,1008.0,,,,,
2020,3,13,鳥取県,Tottori,0,93.0,,,,,
2020,3,13,島根県,Shimane,0,80.0,,,,,
2020,3,13,岡山県,Okayama,0,141.0,,,,,
2020,3,13,広島県,Hiroshima,1,423.0,,,,,
2020,3,13,山口県,Yamaguchi,3,128.0,,,,,
2020,3,13,徳島県,Tokushima,1,70.0,,,,,
2020,3,13,香川県,Kagawa,0,98.0,,,,,
2020,3,13,愛媛県,Ehime,2,161.0,,,,,
2020,3,13,高知県,Kochi,12,229.0,,,,,
2020,3,13,福岡県,Fukuoka,3,522.0,,,,,
2020,3,13,佐賀県,Saga,1,52.0,,,,,
2020,3,13,長崎県,Nagasaki,0,150.0,,,,,
2020,3,13,熊本県,Kumamoto,6,,,,,,
2020,3,13,大分県,Oita,1,148.0,,,,,
2020,3,13,宮崎県,Miyazaki,1,113.0,,,,,
2020,3,13,鹿児島県,Kagoshima,0,,,,,,
2020,3,13,沖縄県,Okinawa,3,198.0,,,,,
2020,3,14,北海道,Hokkaido,144,1410.0,,8,58.0,4,
2020,3,14,青森県,Aomori,0,70.0,,,,,
2020,3,14,岩手県,Iwate,0,22.0,,,,,
2020,3,14,宮城県,Miyagi,1,109.0,,,,,
2020,3,14,秋田県,Akita,2,94.0,,,,,
2020,3,14,山形県,Yamagata,0,110.0,,,,,
2020,3,14,福島県,Fukushima,2,107.0,,,,,
2020,3,14,茨城県,Ibaraki,0,389.0,,,,,
2020,3,14,栃木県,Tochigi,2,201.0,,,,,
2020,3,14,群馬県,Gunma,5,115.0,,,,,
2020,3,14,埼玉県,Saitama,28,440.0,,,,,
2020,3,14,千葉県,Chiba,31,,,,,,
2020,3,14,東京都,Tokyo,87,1614.0,87.0,8,,,0.89
2020,3,14,神奈川県,Kanagawa,51,,,,,,0.61
2020,3,14,新潟県,Niigata,14,,,,,,
2020,3,14,富山県,Toyama,0,49.0,,,,,
2020,3,14,石川県,Ishikawa,7,146.0,,,,,
2020,3,14,福井県,Fukui,0,74.0,,,,,
2020,3,14,山梨県,Yamanashi,2,267.0,,,,,
2020,3,14,長野県,Nagano,4,255.0,,,,,
2020,3,14,岐阜県,Gifu,2,227.0,,,,,
2020,3,14,静岡県,Shizuoka,3,,,,,,
2020,3,14,愛知県,Aichi,121,1103.0,,,,,
2020,3,14,三重県,Mie,8,198.0,,,,,
2020,3,14,滋賀県,Shiga,1,99.0,,,,,
2020,3,14,京都府,Kyoto,17,628.0,,,,,
2020,3,14,大阪府,Osaka,102,1665.0,,,21.0,,
2020,3,14,兵庫県,Hyogo,67,824.0,64.0,7,2.0,1,
2020,3,14,奈良県,Nara,8,131.0,,,,,
2020,3,14,和歌山県,Wakayama,14,1008.0,,,,,
2020,3,14,鳥取県,Tottori,0,93.0,,,,,
2020,3,14,島根県,Shimane,0,80.0,,,,,
2020,3,14,岡山県,Okayama,0,141.0,,,,,
2020,3,14,広島県,Hiroshima,1,423.0,,,,,
2020,3,14,山口県,Yamaguchi,3,128.0,,,,,
2020,3,14,徳島県,Tokushima,1,70.0,,,,,
2020,3,14,香川県,Kagawa,0,98.0,,,,,
2020,3,14,愛媛県,Ehime,2,161.0,,,,,
2020,3,14,高知県,Kochi,12,229.0,,,,,
2020,3,14,福岡県,Fukuoka,3,522.0,,,,,
2020,3,14,佐賀県,Saga,1,52.0,,,,,
2020,3,14,長崎県,Nagasaki,1,150.0,,,,,
2020,3,14,熊本県,Kumamoto,6,,,,,,
2020,3,14,大分県,Oita,1,148.0,,,,,
2020,3,14,宮崎県,Miyazaki,1,113.0,,,,,
2020,3,14,鹿児島県,Kagoshima,0,,,,,,
2020,3,14,沖縄県,Okinawa,3,198.0,,,,,
2020,3,15,北海道,Hokkaido,148,1462.0,,9,61.0,5,
2020,3,15,青森県,Aomori,0,70.0,,,,,
2020,3,15,岩手県,Iwate,0,22.0,,,,,
2020,3,15,宮城県,Miyagi,1,109.0,,,,,
2020,3,15,秋田県,Akita,2,94.0,,,,,
2020,3,15,山形県,Yamagata,0,110.0,,,,,
2020,3,15,福島県,Fukushima,2,107.0,,,,,
2020,3,15,茨城県,Ibaraki,0,389.0,,,,,
2020,3,15,栃木県,Tochigi,2,201.0,,,,,
2020,3,15,群馬県,Gunma,5,115.0,,,,,
2020,3,15,埼玉県,Saitama,28,440.0,,,,,
2020,3,15,千葉県,Chiba,31,,,,,,
2020,3,15,東京都,Tokyo,90,1614.0,90.0,8,,,1.03
2020,3,15,神奈川県,Kanagawa,57,,,,,,1.0
2020,3,15,新潟県,Niigata,14,,,,,,
2020,3,15,富山県,Toyama,0,49.0,,,,,
2020,3,15,石川県,Ishikawa,7,146.0,,,,,
2020,3,15,福井県,Fukui,0,74.0,,,,,
2020,3,15,山梨県,Yamanashi,2,267.0,,,,,
2020,3,15,長野県,Nagano,4,255.0,,,,,
2020,3,15,岐阜県,Gifu,2,227.0,,,,,
2020,3,15,静岡県,Shizuoka,3,,,,,,
2020,3,15,愛知県,Aichi,121,1103.0,,,,,
2020,3,15,三重県,Mie,8,198.0,,,,,
2020,3,15,滋賀県,Shiga,2,99.0,,,,,
2020,3,15,京都府,Kyoto,17,628.0,,,,,
2020,3,15,大阪府,Osaka,106,1728.0,,,24.0,,
2020,3,15,兵庫県,Hyogo,78,887.0,75.0,7,2.0,1,
2020,3,15,奈良県,Nara,8,131.0,,,,,
2020,3,15,和歌山県,Wakayama,15,1008.0,,,,,
2020,3,15,鳥取県,Tottori,0,93.0,,,,,
2020,3,15,島根県,Shimane,0,80.0,,,,,
2020,3,15,岡山県,Okayama,0,141.0,,,,,
2020,3,15,広島県,Hiroshima,1,423.0,,,,,
2020,3,15,山口県,Yamaguchi,3,128.0,,,,,
2020,3,15,徳島県,Tokushima,1,70.0,,,,,
2020,3,15,香川県,Kagawa,0,98.0,,,,,
2020,3,15,愛媛県,Ehime,2,161.0,,,,,
2020,3,15,高知県,Kochi,12,229.0,,,,,
2020,3,15,福岡県,Fukuoka,3,522.0,,,,,
2020,3,15,佐賀県,Saga,1,52.0,,,,,
2020,3,15,長崎県,Nagasaki,1,150.0,,,,,
2020,3,15,熊本県,Kumamoto,6,,,,,,
2020,3,15,大分県,Oita,1,148.0,,,,,
2020,3,15,宮崎県,Miyazaki,1,113.0,,,,,
2020,3,15,鹿児島県,Kagoshima,0,,,,,,
2020,3,15,沖縄県,Okinawa,3,198.0,,,,,
2020,3,16,北海道,Hokkaido,152,1490.0,,6,66.0,6,
2020,3,16,青森県,Aomori,0,72.0,,,,,
2020,3,16,岩手県,Iwate,0,24.0,,,,,
2020,3,16,宮城県,Miyagi,1,129.0,,,,,
2020,3,16,秋田県,Akita,2,103.0,,,,,
2020,3,16,山形県,Yamagata,0,112.0,,,,,
2020,3,16,福島県,Fukushima,2,116.0,,,,,
2020,3,16,茨城県,Ibaraki,0,419.0,,,,,
2020,3,16,栃木県,Tochigi,2,221.0,,,,,
2020,3,16,群馬県,Gunma,6,115.0,,,,,
2020,3,16,埼玉県,Saitama,28,584.0,,,,,
2020,3,16,千葉県,Chiba,31,,,,,,
2020,3,16,東京都,Tokyo,90,1633.0,90.0,8,,,1.03
2020,3,16,神奈川県,Kanagawa,57,,,,,,1.25
2020,3,16,新潟県,Niigata,14,,,,,,
2020,3,16,富山県,Toyama,0,49.0,,,,,
2020,3,16,石川県,Ishikawa,7,156.0,,,,,
2020,3,16,福井県,Fukui,0,79.0,,,,,
2020,3,16,山梨県,Yamanashi,2,294.0,,,,,
2020,3,16,長野県,Nagano,4,280.0,,,,,
2020,3,16,岐阜県,Gifu,2,249.0,,,,,
2020,3,16,静岡県,Shizuoka,3,,,,,,
2020,3,16,愛知県,Aichi,123,1103.0,,,,,
2020,3,16,三重県,Mie,8,257.0,,,,,
2020,3,16,滋賀県,Shiga,3,107.0,,,,,
2020,3,16,京都府,Kyoto,17,741.0,,,,,
2020,3,16,大阪府,Osaka,108,1757.0,,,24.0,,
2020,3,16,兵庫県,Hyogo,82,951.0,78.0,6,2.0,2,
2020,3,16,奈良県,Nara,8,143.0,,,,,
2020,3,16,和歌山県,Wakayama,15,1040.0,,,,,
2020,3,16,鳥取県,Tottori,0,95.0,,,,,
2020,3,16,島根県,Shimane,0,82.0,,,,,
2020,3,16,岡山県,Okayama,0,160.0,,,,,
2020,3,16,広島県,Hiroshima,1,463.0,,,,,
2020,3,16,山口県,Yamaguchi,3,138.0,,,,,
2020,3,16,徳島県,Tokushima,1,73.0,,,,,
2020,3,16,香川県,Kagawa,0,102.0,,,,,
2020,3,16,愛媛県,Ehime,2,166.0,,,,,
2020,3,16,高知県,Kochi,12,246.0,,,,,
2020,3,16,福岡県,Fukuoka,3,578.0,,,,,
2020,3,16,佐賀県,Saga,1,82.0,,,,,
2020,3,16,長崎県,Nagasaki,1,173.0,,,,,
2020,3,16,熊本県,Kumamoto,6,393.0,,,,,
2020,3,16,大分県,Oita,1,153.0,,,,,
2020,3,16,宮崎県,Miyazaki,1,114.0,,,,,
2020,3,16,鹿児島県,Kagoshima,0,,,,,,
2020,3,16,沖縄県,Okinawa,3,210.0,,,,,
2020,3,17,北海道,Hokkaido,152,1515.0,,6,72.0,6,
2020,3,17,青森県,Aomori,0,74.0,,,,,
2020,3,17,岩手県,Iwate,0,24.0,,,,,
2020,3,17,宮城県,Miyagi,1,129.0,,,,,
2020,3,17,秋田県,Akita,2,108.0,,,,,
2020,3,17,山形県,Yamagata,0,120.0,,,,,
2020,3,17,福島県,Fukushima,2,117.0,,,,,
2020,3,17,茨城県,Ibaraki,1,436.0,,,,,
2020,3,17,栃木県,Tochigi,2,227.0,,,,,
2020,3,17,群馬県,Gunma,10,115.0,,,,,
2020,3,17,埼玉県,Saitama,33,614.0,,,,,
2020,3,17,千葉県,Chiba,31,,,,,,
2020,3,17,東京都,Tokyo,102,1704.0,102.0,8,,,1.2
2020,3,17,神奈川県,Kanagawa,61,,,,,,1.28
2020,3,17,新潟県,Niigata,20,,,,,,
2020,3,17,富山県,Toyama,0,51.0,,,,,
2020,3,17,石川県,Ishikawa,7,162.0,,,,,
2020,3,17,福井県,Fukui,0,84.0,,,,,
2020,3,17,山梨県,Yamanashi,2,315.0,,,,,
2020,3,17,長野県,Nagano,4,284.0,,,,,
2020,3,17,岐阜県,Gifu,2,270.0,,,,,
2020,3,17,静岡県,Shizuoka,3,,,,,,
2020,3,17,愛知県,Aichi,125,1103.0,,,,,
2020,3,17,三重県,Mie,8,277.0,,,,,
2020,3,17,滋賀県,Shiga,4,124.0,,,,,
2020,3,17,京都府,Kyoto,19,743.0,,,,,
2020,3,17,大阪府,Osaka,112,1910.0,,,27.0,,
2020,3,17,兵庫県,Hyogo,86,1024.0,81.0,6,3.0,2,
2020,3,17,奈良県,Nara,8,153.0,,,,,
2020,3,17,和歌山県,Wakayama,15,1076.0,,,,,
2020,3,17,鳥取県,Tottori,0,104.0,,,,,
2020,3,17,島根県,Shimane,0,84.0,,,,,
2020,3,17,岡山県,Okayama,0,166.0,,,,,
2020,3,17,広島県,Hiroshima,1,502.0,,,,,
2020,3,17,山口県,Yamaguchi,3,149.0,,,,,
2020,3,17,徳島県,Tokushima,1,79.0,,,,,
2020,3,17,香川県,Kagawa,1,109.0,,,,,
2020,3,17,愛媛県,Ehime,2,167.0,,,,,
2020,3,17,高知県,Kochi,12,256.0,,,,,
2020,3,17,福岡県,Fukuoka,4,583.0,,,,,
2020,3,17,佐賀県,Saga,1,85.0,,,,,
2020,3,17,長崎県,Nagasaki,1,179.0,,,,,
2020,3,17,熊本県,Kumamoto,6,393.0,,,,,
2020,3,17,大分県,Oita,1,155.0,,,,,
2020,3,17,宮崎県,Miyazaki,3,129.0,,,,,
2020,3,17,鹿児島県,Kagoshima,0,,,,,,
2020,3,17,沖縄県,Okinawa,3,217.0,,,,,
2020,3,18,北海道,Hokkaido,154,1587.0,77.0,6,73.0,6,
2020,3,18,青森県,Aomori,0,75.0,,,,,
2020,3,18,岩手県,Iwate,0,24.0,,,,,
2020,3,18,宮城県,Miyagi,1,138.0,0.0,,1.0,0,
2020,3,18,秋田県,Akita,2,109.0,0.0,,1.0,0,
2020,3,18,山形県,Yamagata,0,123.0,,,,,
2020,3,18,福島県,Fukushima,2,127.0,2.0,,0.0,0,
2020,3,18,茨城県,Ibaraki,2,454.0,2.0,,0.0,0,
2020,3,18,栃木県,Tochigi,3,242.0,1.0,,1.0,0,
2020,3,18,群馬県,Gunma,10,161.0,10.0,,0.0,0,
2020,3,18,埼玉県,Saitama,34,646.0,28.0,,4.0,0,
2020,3,18,千葉県,Chiba,33,,22.0,,9.0,0,
2020,3,18,東京都,Tokyo,111,1809.0,79.0,8,30.0,2,1.21
2020,3,18,神奈川県,Kanagawa,62,,42.0,,6.0,4,1.0
2020,3,18,新潟県,Niigata,21,,16.0,,1.0,0,
2020,3,18,富山県,Toyama,0,54.0,,,,,
2020,3,18,石川県,Ishikawa,7,165.0,4.0,,1.0,0,
2020,3,18,福井県,Fukui,1,92.0,1.0,,0.0,0,
2020,3,18,山梨県,Yamanashi,2,325.0,2.0,,0.0,0,
2020,3,18,長野県,Nagano,4,295.0,3.0,,0.0,0,
2020,3,18,岐阜県,Gifu,3,270.0,2.0,,1.0,0,
2020,3,18,静岡県,Shizuoka,3,,2.0,,1.0,0,
2020,3,18,愛知県,Aichi,130,1103.0,106.0,,3.0,14,
2020,3,18,三重県,Mie,8,277.0,4.0,,1.0,0,
2020,3,18,滋賀県,Shiga,4,140.0,4.0,,0.0,0,
2020,3,18,京都府,Kyoto,20,770.0,11.0,,6.0,0,
2020,3,18,大阪府,Osaka,117,2024.0,78.0,,33.0,1,
2020,3,18,兵庫県,Hyogo,91,1131.0,84.0,6,4.0,3,
2020,3,18,奈良県,Nara,8,163.0,2.0,,2.0,0,
2020,3,18,和歌山県,Wakayama,15,1090.0,4.0,,8.0,1,
2020,3,18,鳥取県,Tottori,0,110.0,,,,,
2020,3,18,島根県,Shimane,0,86.0,,,,,
2020,3,18,岡山県,Okayama,0,175.0,,,,,
2020,3,18,広島県,Hiroshima,1,521.0,0.0,,1.0,0,
2020,3,18,山口県,Yamaguchi,3,157.0,1.0,,0.0,0,
2020,3,18,徳島県,Tokushima,1,79.0,,,,,
2020,3,18,香川県,Kagawa,1,122.0,1.0,,0.0,0,
2020,3,18,愛媛県,Ehime,3,181.0,1.0,,1.0,0,
2020,3,18,高知県,Kochi,12,267.0,5.0,,6.0,0,
2020,3,18,福岡県,Fukuoka,4,610.0,3.0,,1.0,0,
2020,3,18,佐賀県,Saga,1,91.0,1.0,,0.0,0,
2020,3,18,長崎県,Nagasaki,1,200.0,,,,,
2020,3,18,熊本県,Kumamoto,6,393.0,5.0,,0.0,0,
2020,3,18,大分県,Oita,1,163.0,0.0,,1.0,0,
2020,3,18,宮崎県,Miyazaki,3,143.0,3.0,,0.0,0,
2020,3,18,鹿児島県,Kagoshima,0,,,,,,
2020,3,18,沖縄県,Okinawa,3,230.0,1.0,,2.0,0,
2020,3,19,北海道,Hokkaido,157,1652.0,80.0,6,81.0,6,
2020,3,19,青森県,Aomori,0,79.0,,,,,
2020,3,19,岩手県,Iwate,0,29.0,,,,,
